"","Year","Period","State","State.ANSI","Commodity","b1","b2","Domain1","Value","Domain","Domain_value"
"346",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",244.72," METAM POTASSIUM =",39002
"347",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",303.425," METAM SODIUM =",39003
"351",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",0.231," REYNOUTRIA SACHALINE =",55809
"353",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.2," AZOXYSTROBIN =",128810
"358",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.5," BACILLUS SUBTILIS =",6479
"359",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.1," BLAD =",30006
"360",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.3," BORAX DECAHYDRATE =",11102
"361",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.5," BOSCALID =",128008
"363",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",6," CAPTAN =",81301
"366",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.5," CYFLUFENAMID =",555550
"367",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.4," CYPRODINIL =",288202
"368",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.2," DIFENOCONAZOLE =",128847
"369",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.9," FENHEXAMID =",90209
"370",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.4," FLUDIOXONIL =",71503
"371",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2," FLUOPYRAM =",80302
"372",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.2," FLUXAPYROXAD =",138009
"373",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",4.5," FOSETYL AL =",123301
"375",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.5," MEFENOXAM =",113502
"377",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.6," MYCLOBUTANIL =",128857
"378",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.1," PENTHIOPYRAD =",90112
"379",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.1," POLYOXIN D ZINC SALT =",230000
"380",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.2," POTASSIUM BICARBON  =",73508
"381",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.6," PROPICONAZOLE =",122101
"382",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.9," PYRACLOSTROBIN =",99100
"383",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.7," PYRIMETHANIL =",288201
"384",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.7," QUINOLINE =",55459
"386",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",7.3," SULFUR =",77501
"387",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.5," TETRACONAZOLE =",120603
"388",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",1.6," THIOPHANATE METHYL =",102001
"389",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.3," THIRAM =",79801
"391",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.1," TRIFLOXYSTROBIN =",129112
"392",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," FUNGICIDE",2.4," TRIFLUMIZOLE =",128879
"393",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," HERBICIDE",3," CARFENTRAZONE ETHYL =",128712
"394",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," HERBICIDE",2.4," FLUMIOXAZIN =",129034
"399",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," HERBICIDE",1.4," OXYFLUORFEN =",111601
"401",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," HERBICIDE",1.5," PENDIMETHALIN =",108501
"403",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2.2," ABAMECTIN =",122804
"404",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.6," ACEQUINOCYL =",6329
"405",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.4," ACETAMIPRID =",99050
"406",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2.7," AZADIRACHTIN =",121701
"408",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2," BIFENAZATE =",586
"409",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",3.2," BIFENTHRIN =",128825
"417",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.8," CHLORANTRANILIPROLE =",90100
"420",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2," CYANTRANILIPROLE =",90098
"421",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.7," CYFLUMETOFEN =",138831
"422",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",4.3," ETOXAZOLE =",107091
"424",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.9," FENPROPATHRIN =",127901
"425",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.2," FENPYROXIMATE =",129131
"426",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.9," FLONICAMID =",128016
"427",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2.5," FLUPYRADIFURONE =",122304
"429",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.5," HEXYTHIAZOX =",128849
"430",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.5," IMIDACLOPRID =",129099
"431",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2.8," MALATHION =",57701
"432",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.4," METHOXYFENOZIDE =",121027
"433",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.8," NALED =",34401
"434",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",3.5," NEEM OIL =",25006
"435",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.5," NEEM OIL  CLAR  HYD  =",25007
"436",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",3.2," NOVALURON =",124002
"437",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.8," PIPERONYL BUTOXIDE =",67501
"439",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.7," PYRETHRINS =",69001
"441",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.1," PYRIPROXYFEN =",129032
"443",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.6," SPINETORAM =",110007
"444",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.2," SPINOSAD =",110003
"445",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",1.3," SPIROMESIFEN =",24875
"446",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2," SULFOXAFLOR =",5210
"447",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," INSECTICIDE",2.7," THIAMETHOXAM =",60109
"455",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.4," CHLOROPICRIN =",81501
"456",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.5," DICHLOROPROPENE =",29001
"457",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.7," FLUTRIAFOL =",128940
"460",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.5," IRON PHOSPHATE =",34903
"462",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.1," METAM POTASSIUM =",39002
"463",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.3," METAM SODIUM =",39003
"467",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN NUMBER"," OTHER",1.2," REYNOUTRIA SACHALINE =",55809
"469",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",34," AZOXYSTROBIN =",128810
"474",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",8," BACILLUS SUBTILIS =",6479
"475",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",6," BLAD =",30006
"476",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",18," BORAX DECAHYDRATE =",11102
"477",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",34," BOSCALID =",128008
"479",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",76," CAPTAN =",81301
"482",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",30," CYFLUFENAMID =",555550
"483",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",61," CYPRODINIL =",288202
"484",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",10," DIFENOCONAZOLE =",128847
"485",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",36," FENHEXAMID =",90209
"486",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",61," FLUDIOXONIL =",71503
"487",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",48," FLUOPYRAM =",80302
"488",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",30," FLUXAPYROXAD =",138009
"489",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",5," FOSETYL AL =",123301
"491",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",21," MEFENOXAM =",113502
"493",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",56," MYCLOBUTANIL =",128857
"494",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",31," PENTHIOPYRAD =",90112
"495",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",26," POLYOXIN D ZINC SALT =",230000
"496",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",11," POTASSIUM BICARBON  =",73508
"497",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",25," PROPICONAZOLE =",122101
"498",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",65," PYRACLOSTROBIN =",99100
"499",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",29," PYRIMETHANIL =",288201
"500",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",51," QUINOLINE =",55459
"502",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",72," SULFUR =",77501
"503",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",30," TETRACONAZOLE =",120603
"504",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",9," THIOPHANATE METHYL =",102001
"505",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",50," THIRAM =",79801
"508",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",50," TRIFLOXYSTROBIN =",129112
"509",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," FUNGICIDE",37," TRIFLUMIZOLE =",128879
"510",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," HERBICIDE",6," CARFENTRAZONE ETHYL =",128712
"511",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," HERBICIDE",14," FLUMIOXAZIN =",129034
"516",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," HERBICIDE",9," OXYFLUORFEN =",111601
"518",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," HERBICIDE",8," PENDIMETHALIN =",108501
"521",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",35," ABAMECTIN =",122804
"522",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",32," ACEQUINOCYL =",6329
"523",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",42," ACETAMIPRID =",99050
"524",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",25," AZADIRACHTIN =",121701
"526",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",51," BIFENAZATE =",586
"527",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",58," BIFENTHRIN =",128825
"535",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",44," CHLORANTRANILIPROLE =",90100
"538",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",11," CYANTRANILIPROLE =",90098
"539",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",48," CYFLUMETOFEN =",138831
"540",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",6," ETOXAZOLE =",107091
"542",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",31," FENPROPATHRIN =",127901
"543",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",9," FENPYROXIMATE =",129131
"544",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",57," FLONICAMID =",128016
"545",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",34," FLUPYRADIFURONE =",122304
"547",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",24," HEXYTHIAZOX =",128849
"548",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",12," IMIDACLOPRID =",129099
"549",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",28," MALATHION =",57701
"550",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",37," METHOXYFENOZIDE =",121027
"551",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",21," NALED =",34401
"552",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",9," NEEM OIL =",25006
"553",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",18," NEEM OIL  CLAR  HYD  =",25007
"554",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",66," NOVALURON =",124002
"555",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",4," PIPERONYL BUTOXIDE =",67501
"557",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",8," PYRETHRINS =",69001
"559",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",5," PYRIPROXYFEN =",129032
"561",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",58," SPINETORAM =",110007
"562",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",15," SPINOSAD =",110003
"563",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",17," SPIROMESIFEN =",24875
"564",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",20," SULFOXAFLOR =",5210
"565",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," INSECTICIDE",24," THIAMETHOXAM =",60109
"574",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",49," CHLOROPICRIN =",81501
"575",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",23," DICHLOROPROPENE =",29001
"576",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",25," FLUTRIAFOL =",128940
"579",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",2," IRON PHOSPHATE =",34903
"581",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",3," METAM POTASSIUM =",39002
"582",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",2," METAM SODIUM =",39003
"586",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," TREATED"," MEASURED IN PCT OF AREA BEARING"," OTHER",7," REYNOUTRIA SACHALINE =",55809
"600",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",100," CYFLUFENAMID =",555550
"613",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",300," POLYOXIN D ZINC SALT =",230000
"618",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",900," QUINOLINE =",55459
"621",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",400," TETRACONAZOLE =",120603
"627",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," HERBICIDE",100," FLUMIOXAZIN =",129034
"631",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," HERBICIDE",800," OXYFLUORFEN =",111601
"635",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",200," ABAMECTIN =",122804
"638",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",600," AZADIRACHTIN =",121701
"648",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",600," CHLORANTRANILIPROLE =",90100
"658",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",100," FENPYROXIMATE =",129131
"660",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",700," FLUPYRADIFURONE =",122304
"661",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",800," HEXYTHIAZOX =",128849
"672",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",400," PYRETHRINS =",69001
"674",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",800," SPINETORAM =",110007
"675",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",700," SPINOSAD =",110003
"679",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",400," THIAMETHOXAM =",60109
"689",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," OTHER",400," FLUTRIAFOL =",128940
"699",2018,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.213," AZOXYSTROBIN =",128810
